ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"119.148.103.1","elite","AS18109","BD","Nasrin Sultana","291","N/A","4153","socks4","1","96","11657","12184","2026-05-10T07:36:31.218Z","522"
"203.76.103.117","elite","AS23688","BD","Link3 Technologies Limited","203","Link3 Technologies Ltd","4145","socks4","1","97","11832","12185","2026-05-10T07:36:30.828Z","2389"
"115.127.178.142","elite","AS24342","BD","BRACNet Limited","171","bracNet","2026","socks5","1","84","157","187","2026-05-10T07:36:00.329Z","1608"
"202.40.188.201","elite","AS23991","BD","Ranks ITT","183","Ranks ITT Ltd.","4145","socks4","1","93","11271","12179","2026-05-10T07:36:00.333Z","4403"
"43.231.79.36","elite","AS63963","BD","Gateway Online Access Limited","158","Gateway Online Access Limited","33333","socks4","1","93","5015","5380","2026-05-10T07:35:24.714Z","4999"
"119.18.145.147","elite","AS45326","BD","BBTS Network","190","N/A","45326","socks5","1","98","11927","12131","2026-05-10T07:34:02.624Z","1012"
"118.179.87.170","elite","AS23956","BD","AmberIT","173","Dhakacom Limited","5678","socks4","1","90","10911","12096","2026-05-10T07:34:02.516Z","4681"
"202.72.232.254","elite","AS38210","BD","Ranks Telecom Ltd.","261","Ranks Telecom Ltd","1080","socks4","1","100","133","133","2026-05-10T07:33:37.113Z","412"
"45.115.115.42","elite","AS55828","BD","Drik ICT Ltd","187","Drik ICT Limited","4153","socks4","1","93","4556","4888","2026-05-10T07:33:23.326Z","3479"
"103.140.205.137","elite","AS139282","BD","Novus Network","191","Md. Riduanul Kabir","1081","socks5","1","42","5178","12235","2026-05-10T07:33:23.323Z","3285"
"103.95.98.33","elite","AS136759","BD","Cosmopolitan Communications Limited","267","Cosmopolitan Communications Limited","1088","socks4","1","98","5302","5406","2026-05-10T07:32:48.331Z","4203"
"119.18.148.3","elite","AS45326","BD","BBTS Network","278","N/A","5720","socks5","1","99","183","184","2026-05-10T07:32:48.438Z","5078"
"49.0.32.154","elite","AS38744","BD","Always On Network Bangladesh Ltd.","292","Always On Network Bangladesh Ltd","10801","socks4","1","97","11738","12075","2026-05-10T07:32:26.846Z","2606"
"103.214.156.17","elite","AS152177","BD","Fuad Muhammad Shorfuddin","202","N/A","5678","socks4","1","48","5797","12044","2026-05-10T07:32:08.147Z","4689"
"103.234.24.42","elite","AS38200","BD","BTS Communications (BD) Ltd","234","Btscombd","9990","socks5","1","94","5061","5357","2026-05-10T07:31:57.626Z","2327"
